year,Rissa_tridactyla,Uria_aalge,Uria_lomvia,capelin_biomass,ao,sea_temperature,env_PC1
1973,9.78,8.48,7.58,3.94,-0.31,3.7,-0.6855968042970115
1974,9.96,8.59,7.55,5.14,0.67,3.1,-1.7834207381922396
1975,10.06,8.62,7.55,5.78,0.72,3.8,-2.4244982468181884
1976,10.07,8.75,7.69,7.81,-1.81,3.4,-4.6729244515394015
1977,9.4,1,1,6.48,-0.92,2.7,-3.258633661704489
1978,9.5,8.78,7.67,4.76,-1.2,2,-1.5632652879486364
1979,9.75,8.49,7.2,4.19,-1.49,1.9,-1.0210900534744405
1980,9.78,8.74,6.8,4.13,-0.74,2.8,-0.9033980902120249
1981,9.91,8.74,7.01,6.79,0.38,2.3,-3.4433358763905297
1982,9.94,8.82,7.36,3.87,-0.32,2.8,-0.6060108397683849
1983,9.9,8.51,6.77,3.75,-0.61,3.7,-0.5239110773430797
1984,10.11,9.03,7.19,4.25,-1.22,3.2,-1.0716861224370624
1985,9.91,8.99,7.43,2.86,-0.56,3,0.3752625907952984
1986,10.26,8.92,7.33,0.83,-1.41,2.5,2.3246517237093274
1987,10.12,7.11,6.76,0.06,-0.33,2.7,3.1879554306467615
1988,9.94,7.09,6.83,0.06,2.66,3,3.4584434177032075
1989,9.83,7.23,6.63,0.38,2.38,3.7,3.105744822353747
1990,9.94,7.24,6.61,0.83,-0.24,3.9,2.4151000636019275
1991,9.97,7.79,7.01,5.84,0.88,3.7,-2.4683740505349707
1992,9.89,7.85,7.07,7.3,1.39,3.9,-3.877770830925292
1993,9.82,7.72,6.89,5.14,0.26,3.4,-1.824605635542119
1994,9.9,7.98,6.65,0.76,0.5,3.1,2.5622371282806755
1995,10.15,8.11,6.61,0.13,-0.86,3.7,3.0576682071846846
1996,9.86,7.82,6.53,0.13,0.77,2.8,3.2178902973997507
1997,9.66,8.18,6.4,0.44,-0.87,2.6,2.761282163377465
1998,9.98,8.12,7.05,0.95,-0.35,2.7,2.29993371724146
1999,10.03,8.67,7.41,1.97,0.58,3.3,1.3623522048335697
