year,Ctenotus_schomburgkii,Ctenotus_leonhardii,Ctenotus_regius,Lucasium_stenodactylum,Rhynchoedura_ornata,Diplodactylus_conspicillatus,rainfall,veg_condition,autumn_min,winter_min,spring_min,summer_min,autumn_max,winter_max,spring_max,summer_max,env_PC1
1991,80,35,95,30,243,87,119,3,7.5,4.6,9,15,35.8,23.7,36.1,41.9,76.53775251697604
1992,152,82,313,39,299,63,311,6,7.8,3.1,7.2,13.7,35.8,22.6,31.6,39.3,-115.52657993428056
1993,145,74,179,71,316,113,272,6,7.8,3.1,7.2,14,33.7,24.8,36.1,40.9,-76.48405804339814
1994,108,80,397,54,275,82,225,3,7.5,2.9,7.1,14.3,32.9,24.1,36,40.3,-29.462093524756586
1995,102,74,274,37,249,67,214,3,7.5,2.9,7.1,15,32.5,26.5,36.4,40.6,-18.458564027283742
1996,121,63,84,50,295,71,156,2,7,4.2,7.6,13.5,36.1,23,35.1,41.2,39.54590067600136
1997,169,169,337,87,223,91,252,4,7.6,2.1,9,15.6,32.1,21.3,37.4,40.5,-56.463609381320886
1998,136,74,276,78,238,89,153,3,7.8,3.4,8.4,15.6,35.1,23.4,35.6,41,42.52791266387429
1999,87,71,69,61,199,80,132,2,7.8,3.7,8.8,15.3,35.7,24.4,33.9,41.8,63.52554428327451
2000,156,69,129,65,204,104,145,2,7.7,3.7,8.8,14.6,34.9,22.4,35.5,40.8,50.54133541050496
2001,197,188,188,54,184,89,337,4,7.5,4.4,8,17.6,34.4,22.6,32,43.1,-141.5049834925733
2002,128,97,101,74,240,100,107,3,8.9,2.8,7.6,13.9,35.2,23.9,36.2,38.8,88.53194416471989
2003,136,89,173,74,208,56,119,2,8.9,3.5,7.7,14.5,32.5,23.1,37.2,43,76.54861197979409
2004,132,210,112,56,104,61,187,2,7.2,3.8,7.3,15.5,36.5,23.5,36.7,43.9,8.567176328392803
2005,165,156,101,87,212,76,204,2,9.4,4.5,8.2,14.7,36.6,25.1,35.8,40.8,-8.426289619924647
